drug_name,category,pregnancy_category,max_daily_dose,max_daily_unit,common_contraindications,notes,source
Paracetamol,Analgesic/Antipyretic,B,4000,mg,"Severe hepatic impairment; chronic alcohol use","Most common OTC analgesic in India; hepatotoxic in overdose","OpenFDA acetaminophen label"
Amoxicillin,Antibiotic (Penicillin),B,3000,mg,"Penicillin allergy; infectious mononucleosis","Broad-spectrum; causes rash in EBV infection","OpenFDA amoxicillin label"
Omeprazole,Proton Pump Inhibitor,C,40,mg,"Known hypersensitivity to PPIs","Long-term use associated with magnesium depletion and fracture risk","OpenFDA omeprazole label"
Metformin,Antidiabetic (Biguanide),B,2550,mg,"eGFR <30; metabolic acidosis; contrast dye procedures","First-line type 2 diabetes; take with food","OpenFDA metformin label"
Atorvastatin,Statin,X,80,mg,"Pregnancy; active liver disease; unexplained elevated transaminases","Contraindicated in pregnancy due to teratogenicity","OpenFDA atorvastatin label"
Amlodipine,Calcium Channel Blocker,C,10,mg,"Severe aortic stenosis; cardiogenic shock","Long-acting; once daily dosing; ankle edema common","OpenFDA amlodipine label"
Lisinopril,ACE Inhibitor,D,80,mg,"Pregnancy (2nd/3rd trimester); angioedema history; bilateral renal artery stenosis","Monitor potassium and creatinine; dry cough common side effect","OpenFDA lisinopril label"
Losartan,ARB,D,100,mg,"Pregnancy; bilateral renal artery stenosis","Alternative to ACE inhibitors without cough side effect","OpenFDA losartan label"
Metoprolol,Beta-blocker,C,400,mg,"Severe bradycardia; heart block; cardiogenic shock; decompensated HF","Do not stop abruptly; taper gradually","OpenFDA metoprolol label"
Warfarin,Anticoagulant,X,10,mg,"Pregnancy; active bleeding; recent surgery; unsupervised patients","Narrow therapeutic index; requires INR monitoring","OpenFDA warfarin label"
Clopidogrel,Antiplatelet,B,75,mg,"Active bleeding; severe hepatic impairment","Prodrug requiring CYP2C19 activation; genetic polymorphism affects efficacy","OpenFDA clopidogrel label"
Aspirin,NSAID/Antiplatelet,D,4000,mg,"Active peptic ulcer; bleeding disorders; children with viral illness (Reye syndrome)","Low dose (75-325mg) for cardiovascular prevention","OpenFDA aspirin label"
Ibuprofen,NSAID,C-D,3200,mg,"Active GI bleeding; severe renal impairment; third trimester pregnancy","OTC analgesic; GI and cardiovascular risks with chronic use","OpenFDA ibuprofen label"
Diclofenac,NSAID,C-D,150,mg,"Active GI bleeding; severe hepatic/renal impairment; CABG surgery","Available oral and topical; cardiovascular risk similar to COX-2 inhibitors","OpenFDA diclofenac label"
Ciprofloxacin,Fluoroquinolone,C,1500,mg,"Myasthenia gravis; tendon disorders; children <18 (generally)","FDA black box for tendinitis and peripheral neuropathy","OpenFDA ciprofloxacin label"
Azithromycin,Macrolide,B,500,mg,"Known macrolide hypersensitivity; hepatic impairment with prior azithromycin use","QT prolongation risk; 3-5 day courses common","OpenFDA azithromycin label"
Clarithromycin,Macrolide,C,1000,mg,"Concurrent cisapride/pimozide; QT prolongation history","Strong CYP3A4 inhibitor; many drug interactions","OpenFDA clarithromycin label"
Fluoxetine,SSRI,C,80,mg,"Concurrent MAOIs (within 14 days); pimozide; thioridazine","Long half-life (2-6 days active metabolite); FDA black box for suicidality in youth","OpenFDA fluoxetine label"
Sertraline,SSRI,C,200,mg,"Concurrent MAOIs; pimozide","Preferred SSRI in cardiac patients; fewer drug interactions than fluoxetine","OpenFDA sertraline label"
Gabapentin,Anticonvulsant/Neuropathic,C,3600,mg,"Known hypersensitivity","Renal dose adjustment required; abuse potential recognized","OpenFDA gabapentin label"
Pregabalin,Anticonvulsant/Neuropathic,C,600,mg,"Known hypersensitivity","Schedule V controlled substance; weight gain and edema common","OpenFDA pregabalin label"
Tramadol,Opioid Analgesic,C,400,mg,"Concurrent MAOIs; seizure disorders; children <12","Schedule IV; serotonergic properties increase interaction risk","OpenFDA tramadol label"
Phenytoin,Anticonvulsant,D,600,mg,"Concurrent delavirdine; pregnancy; sinus bradycardia; SA block","Zero-order kinetics; small dose changes cause large level changes","OpenFDA phenytoin label"
Carbamazepine,Anticonvulsant,D,1600,mg,"Concurrent MAOIs; bone marrow suppression; HLA-B*1502 positive","Potent enzyme inducer; autoinduction of own metabolism","OpenFDA carbamazepine label"
Valproic Acid,Anticonvulsant,D-X,60,mg/kg,"Pregnancy (neural tube defects); hepatic disease; urea cycle disorders","Broad spectrum anticonvulsant; teratogenic","OpenFDA valproic acid label"
Levothyroxine,Thyroid Hormone,A,300,mcg,"Uncorrected adrenal insufficiency; acute MI","Take on empty stomach 30-60 min before food; many absorption interactions","OpenFDA levothyroxine label"
Prednisone,Corticosteroid,C,60,mg,"Systemic fungal infections; live vaccines during immunosuppressive doses","Taper required after prolonged use; hyperglycemia common","OpenFDA prednisone label"
Insulin Glargine,Insulin Analog,C,0,units,"Hypoglycemia; known hypersensitivity","Dose individualized; no maximum per se; monitor blood glucose","OpenFDA insulin glargine label"
Furosemide,Loop Diuretic,C,600,mg,"Anuria; hepatic coma; severe electrolyte depletion","Monitor electrolytes especially potassium; ototoxicity with rapid IV","OpenFDA furosemide label"
Spironolactone,Potassium-sparing Diuretic,C,400,mg,"Hyperkalemia; Addison disease; anuria; concurrent eplerenone","Anti-androgen effects; gynecomastia common in males","OpenFDA spironolactone label"
Digoxin,Cardiac Glycoside,C,0.5,mg,"Ventricular fibrillation; hypertrophic cardiomyopathy with obstruction","Narrow therapeutic index (0.5-2.0 ng/mL); many drug interactions","OpenFDA digoxin label"
Amiodarone,Antiarrhythmic,D,400,mg,"Cardiogenic shock; severe sinus node disease; second/third degree AV block","Very long half-life (40-55 days); pulmonary and thyroid toxicity","OpenFDA amiodarone label"
Simvastatin,Statin,X,40,mg,"Pregnancy; active liver disease; concurrent strong CYP3A4 inhibitors","80mg dose restricted due to rhabdomyolysis risk","OpenFDA simvastatin label"
Doxycycline,Tetracycline,D,200,mg,"Pregnancy; children <8 years (dental staining)","Photosensitivity; take with adequate water; esophageal ulceration risk","OpenFDA doxycycline label"
Methotrexate,Antimetabolite,X,25,mg/week,"Pregnancy; nursing; alcoholism; chronic liver disease; immunodeficiency","Folic acid supplementation required; weekly NOT daily dosing for RA","OpenFDA methotrexate label"
Lithium,Mood Stabilizer,D,1800,mg,"Severe renal impairment; severe cardiovascular disease; dehydration","Narrow therapeutic index (0.6-1.2 mEq/L); monitor levels closely","OpenFDA lithium label"
Sildenafil,PDE5 Inhibitor,B,100,mg,"Concurrent nitrates; severe hepatic impairment; recent stroke/MI","PAH dose is 20mg TID; ED dose 25-100mg PRN","OpenFDA sildenafil label"
Rifampin,Antimycobacterial,C,600,mg,"Concurrent saquinavir/ritonavir; jaundice","Most potent known CYP inducer; orange discoloration of body fluids","OpenFDA rifampin label"
Ketoconazole,Antifungal,C,400,mg,"Concurrent terfenadine/astemizole/cisapride; hepatic disease","Oral form restricted due to hepatotoxicity; now mainly topical","OpenFDA ketoconazole label; FDA safety communication"
Isoniazid,Antimycobacterial,C,300,mg,"Acute liver disease; prior isoniazid hepatitis","Pyridoxine (B6) supplementation recommended to prevent neuropathy","OpenFDA isoniazid label"
Lamotrigine,Anticonvulsant,C,400,mg,"Known hypersensitivity","Slow titration required to reduce SJS/TEN risk; valproate doubles levels","OpenFDA lamotrigine label"
Colchicine,Anti-gout,C,6,mg/attack,"Concurrent strong CYP3A4 inhibitors in hepatic/renal impairment","Narrow therapeutic index; GI toxicity dose-limiting","OpenFDA colchicine label"
